"VEGOBJEKT-ID";"TYPE-ID";"VERSJON";"FØRSTE FOREKOMST";"STARTDATO";"SLUTTDATO";"SIST MODIFISERT";"ANRIKING";"AREAL";"ASSOSIERT ENTREPRENØR";"AVSTRØING";"BETONGFASTHET";"BUDSJETT";"DEKKEBREDDE, GJ.SNITT";"DEKKELEGGINGSDATO";"DEKKETYKKELSE";"DEKKEVARIANT";"FIBERTILSETNING";"FORKILING";"FORSEGLING";"FORVARMING";"GEOMETRI, FLATE";"GEOMETRI, HJELPELINJE";"GUMMITILSETNING";"KOSTNAD";"LAGTYPE";"LAVTEMPERATURASFALT";"MASSEFORBRUK";"MASSETYPE";"MERKNAD";"MODIFISERT BINDEMIDDEL";"POLYPROPYLEN";"PROSJEKTREFERANSE";"REPAVER";"RESEPTNUMMER";"SPESIAL STEINMATERIALE";"SPESIALASFALT";"SPESIELL PLASSERING";"VEDLIKEHOLDSANSVARLIG";"ØVRE NOMINELLE STEINSTØRRELSE";"KOMMUNE";"KOMMUNENUMMER";"FYLKE";"FYLKESNUMMER";"RIKSVEGRUTE";"KONTRAKTSOMRÅDE";"VEGSYSTEMREFERANSE";"VEGKATEGORI";"FASE";"VEGNUMMER";"STREKNING";"DELSTREKNING";"FRA METER";"TIL METER";"VEGLENKESEKVENSID";"STARTPOSISJON";"SLUTTPOSISJON";"RETNING";"SIDEPOSISJON";"GEOMETRI"
"111811441";"241";"7";"0";"2017-11-14";"";"2020-10-20T17:27:18";"";"";"N/A";"";"";"Vedlikehold";"3.4";"2002-06-11";"43";"";"";"";"";"";"";"";"";"";"";"";"109";"Asfaltbetong";"Ab11 mellom jernbaneskinner";"";"";"";"";"";"";"";"";"";"16";"Bergen";"4601";"Vestland";"46";"RUTE5C 2014-2023 / 2018-2029";"1211 Tunnel 2016-2021,4604 Bergen-Os-Austevoll 2021-2026,E1260 Hordaland vest 2016-2022,1202 Stor-Bergen 2020-2021,1202 Stor-Bergen 2015-2020,9304 Bergen 2021-2026 (2023-),9304 Bergen 2021-2026 (2021-2022),9304 Bergen 2021-2026 (2022-2023),9304 Bergen 2021-2026";"EV16 S1D1 m1120-1276";"Europaveg";"Eksisterende";"16";"1";"1";"1119.994";"1276.112";"804742";"0.49147874";"0.58954552";"WITH";"";"LINESTRING Z(-31593 6733780.3 2.306, -31594.91 6733784 2.206, -31596.91 6733787.5 2.206, -31600.2 6733794.7 2.206, -31612.5 6733819.3 2.106, -31626.3 6733848.2 2.206, -31633.8 6733863.2 2.306, -31641.5 6733879.5 2.406, -31648 6733894.5 2.406, -31654 6733907 2.506, -31660.2 6733911.7 2.506, -31666.8 6733915.8 2.506)"
"111811441";"241";"7";"0";"2017-11-14";"";"2020-10-20T17:27:18";"";"";"N/A";"";"";"Vedlikehold";"3.4";"2002-06-11";"43";"";"";"";"";"";"";"";"";"";"";"";"109";"Asfaltbetong";"Ab11 mellom jernbaneskinner";"";"";"";"";"";"";"";"";"";"16";"Bergen";"4601";"Vestland";"46";"RUTE5C 2014-2023 / 2018-2029";"1211 Tunnel 2016-2021,4604 Bergen-Os-Austevoll 2021-2026,E1260 Hordaland vest 2016-2022,1202 Stor-Bergen 2020-2021,1202 Stor-Bergen 2015-2020,9304 Bergen 2021-2026 (2023-),9304 Bergen 2021-2026 (2021-2022),9304 Bergen 2021-2026 (2022-2023),9304 Bergen 2021-2026";"EV16 S1D1 m1276-1338";"Europaveg";"Eksisterende";"16";"1";"1";"1276.112";"1338.21";"804742";"0.58954552";"0.62881098";"WITH";"";"LINESTRING Z(-31666.8 6733915.8 2.506, -31670.09 6733916.8 2.506, -31673.2 6733917.5 2.406, -31677.7 6733917.4 2.406, -31682.09 6733916.5 2.306, -31686.7 6733914.5 2.206, -31699.3 6733901.5 2.206, -31715.501 6733884.66 2.141)"
"111811441";"241";"7";"0";"2017-11-14";"";"2020-10-20T17:27:18";"";"";"N/A";"";"";"Vedlikehold";"3.4";"2002-06-11";"43";"";"";"";"";"";"";"";"";"";"";"";"109";"Asfaltbetong";"Ab11 mellom jernbaneskinner";"";"";"";"";"";"";"";"";"";"16";"Bergen";"4601";"Vestland";"46";"RUTE5C 2014-2023 / 2018-2029";"1211 Tunnel 2016-2021,4604 Bergen-Os-Austevoll 2021-2026,E1260 Hordaland vest 2016-2022,1202 Stor-Bergen 2020-2021,1202 Stor-Bergen 2015-2020,9304 Bergen 2021-2026 (2023-),9304 Bergen 2021-2026 (2021-2022),9304 Bergen 2021-2026 (2022-2023),9304 Bergen 2021-2026";"EV16 S1D1 m1365-1368";"Europaveg";"Eksisterende";"16";"1";"1";"1364.685";"1367.523";"804742";"0.6456056";"0.64738834";"WITH";"";"LINESTRING Z(-31735.363 6733867.297 1.97, -31737.354 6733869.322 2.001)"
"111811441";"241";"7";"0";"2017-11-14";"";"2020-10-20T17:27:18";"";"";"N/A";"";"";"Vedlikehold";"3.4";"2002-06-11";"43";"";"";"";"";"";"";"";"";"";"";"";"109";"Asfaltbetong";"Ab11 mellom jernbaneskinner";"";"";"";"";"";"";"";"";"";"16";"Bergen";"4601";"Vestland";"46";"RUTE5C 2014-2023 / 2018-2029";"1211 Tunnel 2016-2021,4604 Bergen-Os-Austevoll 2021-2026,E1260 Hordaland vest 2016-2022,1202 Stor-Bergen 2020-2021,1202 Stor-Bergen 2015-2020,9304 Bergen 2021-2026 (2023-),9304 Bergen 2021-2026 (2021-2022),9304 Bergen 2021-2026 (2022-2023),9304 Bergen 2021-2026";"EV16 S1D1 m1368-1369";"Europaveg";"Eksisterende";"16";"1";"1";"1367.523";"1368.523";"804742";"0.64738834";"0.64801653";"WITH";"";"LINESTRING Z(-31737.354 6733869.322 2.001, -31738.056 6733870.035 2.012)"
"111811441";"241";"7";"0";"2017-11-14";"";"2020-10-20T17:27:18";"";"";"N/A";"";"";"Vedlikehold";"3.4";"2002-06-11";"43";"";"";"";"";"";"";"";"";"";"";"";"109";"Asfaltbetong";"Ab11 mellom jernbaneskinner";"";"";"";"";"";"";"";"";"";"16";"Bergen";"4601";"Vestland";"46";"RUTE5C 2014-2023 / 2018-2029";"1211 Tunnel 2016-2021,4604 Bergen-Os-Austevoll 2021-2026,E1260 Hordaland vest 2016-2022,1202 Stor-Bergen 2020-2021,1202 Stor-Bergen 2015-2020,9304 Bergen 2021-2026 (2023-),9304 Bergen 2021-2026 (2021-2022),9304 Bergen 2021-2026 (2022-2023),9304 Bergen 2021-2026";"EV16 S1D1 m1369-1371";"Europaveg";"Eksisterende";"16";"1";"1";"1368.523";"1370.523";"804742";"0.64801653";"0.64927292";"WITH";"";"LINESTRING Z(-31738.056 6733870.035 2.012, -31739.459 6733871.462 2.034)"
"111811441";"241";"7";"0";"2017-11-14";"";"2020-10-20T17:27:18";"";"";"N/A";"";"";"Vedlikehold";"3.4";"2002-06-11";"43";"";"";"";"";"";"";"";"";"";"";"";"109";"Asfaltbetong";"Ab11 mellom jernbaneskinner";"";"";"";"";"";"";"";"";"";"16";"Bergen";"4601";"Vestland";"46";"RUTE5C 2014-2023 / 2018-2029";"1211 Tunnel 2016-2021,4604 Bergen-Os-Austevoll 2021-2026,E1260 Hordaland vest 2016-2022,1202 Stor-Bergen 2020-2021,1202 Stor-Bergen 2015-2020,9304 Bergen 2021-2026 (2023-),9304 Bergen 2021-2026 (2021-2022),9304 Bergen 2021-2026 (2022-2023),9304 Bergen 2021-2026";"EV16 S1D1 m1371-1377";"Europaveg";"Eksisterende";"16";"1";"1";"1370.523";"1376.523";"804742";"0.64927292";"0.65304209";"WITH";"";"LINESTRING Z(-31739.459 6733871.462 2.034, -31743.35 6733875.42 2.096, -31743.736 6733875.657 2.094)"
"111811442";"241";"7";"1";"2017-11-14";"";"2020-10-20T17:27:18";"";"";"N/A";"";"";"Vedlikehold";"3.4";"2002-06-10";"43";"";"";"";"";"";"";"";"";"";"";"";"109";"Asfaltbetong";"Ab11 mellom jernbaneskinner";"";"";"";"";"";"";"";"";"";"16";"Bergen";"4601";"Vestland";"46";"RUTE5C 2014-2023 / 2018-2029";"1211 Tunnel 2016-2021,4604 Bergen-Os-Austevoll 2021-2026,E1260 Hordaland vest 2016-2022,1202 Stor-Bergen 2020-2021,1202 Stor-Bergen 2015-2020,9304 Bergen 2021-2026 (2023-),9304 Bergen 2021-2026 (2021-2022),9304 Bergen 2021-2026 (2022-2023),9304 Bergen 2021-2026";"EV16 S1D1 m939-1120";"Europaveg";"Eksisterende";"16";"1";"1";"938.725";"1119.994";"804742";"0.37767557";"0.49147874";"WITH";"";"LINESTRING Z(-31542.079 6733607.842 1.971, -31543.09 6733617.7 1.907, -31546.7 6733644.5 1.907, -31550.41 6733663.4 2.207, -31555.09 6733678 2.407, -31563.91 6733700.3 2.606, -31568.3 6733710.9 2.606, -31569.59 6733713.5 2.606, -31578.5 6733732.6 2.606, -31586.424 6733749.364 2.606, -31588.2 6733753.3 2.606, -31590.09 6733763.9 2.506, -31591.41 6733771.6 2.406, -31593 6733780.3 2.306)"
"111811442";"241";"7";"0";"2017-11-14";"";"2020-10-20T17:27:18";"";"";"N/A";"";"";"Vedlikehold";"3.4";"2002-06-10";"43";"";"";"";"";"";"";"";"";"";"";"";"109";"Asfaltbetong";"Ab11 mellom jernbaneskinner";"";"";"";"";"";"";"";"";"";"16";"Bergen";"4601";"Vestland";"46";"RUTE5C 2014-2023 / 2018-2029";"1211 Tunnel 2016-2021,4604 Bergen-Os-Austevoll 2021-2026,E1260 Hordaland vest 2016-2022,1202 Stor-Bergen 2020-2021,1202 Stor-Bergen 2015-2020,9304 Bergen 2021-2026 (2023-),9304 Bergen 2021-2026 (2021-2022),9304 Bergen 2021-2026 (2022-2023),9304 Bergen 2021-2026";"EV16 S1D1 m1120-1276";"Europaveg";"Eksisterende";"16";"1";"1";"1119.994";"1276.112";"804742";"0.49147874";"0.58954552";"WITH";"";"LINESTRING Z(-31593 6733780.3 2.306, -31594.91 6733784 2.206, -31596.91 6733787.5 2.206, -31600.2 6733794.7 2.206, -31612.5 6733819.3 2.106, -31626.3 6733848.2 2.206, -31633.8 6733863.2 2.306, -31641.5 6733879.5 2.406, -31648 6733894.5 2.406, -31654 6733907 2.506, -31660.2 6733911.7 2.506, -31666.8 6733915.8 2.506)"
"111811442";"241";"7";"0";"2017-11-14";"";"2020-10-20T17:27:18";"";"";"N/A";"";"";"Vedlikehold";"3.4";"2002-06-10";"43";"";"";"";"";"";"";"";"";"";"";"";"109";"Asfaltbetong";"Ab11 mellom jernbaneskinner";"";"";"";"";"";"";"";"";"";"16";"Bergen";"4601";"Vestland";"46";"RUTE5C 2014-2023 / 2018-2029";"1211 Tunnel 2016-2021,4604 Bergen-Os-Austevoll 2021-2026,E1260 Hordaland vest 2016-2022,1202 Stor-Bergen 2020-2021,1202 Stor-Bergen 2015-2020,9304 Bergen 2021-2026 (2023-),9304 Bergen 2021-2026 (2021-2022),9304 Bergen 2021-2026 (2022-2023),9304 Bergen 2021-2026";"EV16 S1D1 m1276-1338";"Europaveg";"Eksisterende";"16";"1";"1";"1276.112";"1338.21";"804742";"0.58954552";"0.62881098";"WITH";"";"LINESTRING Z(-31666.8 6733915.8 2.506, -31670.09 6733916.8 2.506, -31673.2 6733917.5 2.406, -31677.7 6733917.4 2.406, -31682.09 6733916.5 2.306, -31686.7 6733914.5 2.206, -31699.3 6733901.5 2.206, -31715.501 6733884.66 2.141)"
"111811442";"241";"7";"0";"2017-11-14";"";"2020-10-20T17:27:18";"";"";"N/A";"";"";"Vedlikehold";"3.4";"2002-06-10";"43";"";"";"";"";"";"";"";"";"";"";"";"109";"Asfaltbetong";"Ab11 mellom jernbaneskinner";"";"";"";"";"";"";"";"";"";"16";"Bergen";"4601";"Vestland";"46";"RUTE5C 2014-2023 / 2018-2029";"1211 Tunnel 2016-2021,4604 Bergen-Os-Austevoll 2021-2026,E1260 Hordaland vest 2016-2022,1202 Stor-Bergen 2020-2021,1202 Stor-Bergen 2015-2020,9304 Bergen 2021-2026 (2023-),9304 Bergen 2021-2026 (2021-2022),9304 Bergen 2021-2026 (2022-2023),9304 Bergen 2021-2026";"EV16 S1D1 m1365-1368";"Europaveg";"Eksisterende";"16";"1";"1";"1364.685";"1367.523";"804742";"0.6456056";"0.64738834";"WITH";"";"LINESTRING Z(-31735.363 6733867.297 1.97, -31737.354 6733869.322 2.001)"
"111811442";"241";"7";"0";"2017-11-14";"";"2020-10-20T17:27:18";"";"";"N/A";"";"";"Vedlikehold";"3.4";"2002-06-10";"43";"";"";"";"";"";"";"";"";"";"";"";"109";"Asfaltbetong";"Ab11 mellom jernbaneskinner";"";"";"";"";"";"";"";"";"";"16";"Bergen";"4601";"Vestland";"46";"RUTE5C 2014-2023 / 2018-2029";"1211 Tunnel 2016-2021,4604 Bergen-Os-Austevoll 2021-2026,E1260 Hordaland vest 2016-2022,1202 Stor-Bergen 2020-2021,1202 Stor-Bergen 2015-2020,9304 Bergen 2021-2026 (2023-),9304 Bergen 2021-2026 (2021-2022),9304 Bergen 2021-2026 (2022-2023),9304 Bergen 2021-2026";"EV16 S1D1 m1368-1369";"Europaveg";"Eksisterende";"16";"1";"1";"1367.523";"1368.523";"804742";"0.64738834";"0.64801653";"WITH";"";"LINESTRING Z(-31737.354 6733869.322 2.001, -31738.056 6733870.035 2.012)"
